name,ft_active,ft_seq,ft_vert,ft_seq_index,ft_vert_index,ft_order,pt_active,pt_seq,pt_vert,pt_seq_index,pt_vert_index,pt_order,tag,file
MongoDB | Shell & CRUD operations,TRUE,Week 4,Day 3,4,2,5,TRUE,Week 9,Halfday 4,9,3,1,SELF_GUIDED,module-2/week-4/mongo-shell-crud.md
MongoDB | MongoDB Compass CRUD Operations,TRUE,Week 4,Day 3,4,2,6,TRUE,Week 9,Halfday 4,9,3,2,,module-2/week-4/mongo-compass-crud.md
MongoDB | Data Models,TRUE,Week 4,Day 3,4,2,7,TRUE,Week 9,Halfday 4,9,3,3,,module-2/week-4/mongo-data-models.md
LAB | MongoDB - Advanced Querying,TRUE,Week 4,Day 3,4,2,8,TRUE,Week 9,Halfday 4,9,3,4,LAB,module-2/labs/lab-advance-querying-mongo.md
MongoDB | Indexing & Aggregation Framework,TRUE,Week 4,Day 3,4,2,9,TRUE,Week 9,Halfday 4,9,3,5,SELF_GUIDED,module-2/week-4/self-guided/mongo-advanced.md
Mongoose | Introduction,TRUE,Week 4,Day 4,4,3,0,TRUE,Week 10,Halfday 1,10,0,0,,module-2/week-4/mongoose-intro.md
"Mongoose | Schemas, Models & Documents",TRUE,Week 4,Day 4,4,3,1,TRUE,Week 10,Halfday 1,10,0,1,,module-2/week-4/mongoose-schemas-models-documents.md
LAB | Mongoose Recipes,TRUE,Week 4,Day 4,4,3,2,TRUE,Week 10,Halfday 2,10,1,0,LAB,module-2/labs/lab-mongoose-recipes.md
Reinforcement session,TRUE,Week 4,Day 4,4,3,3,TRUE,Week 10,Halfday 2,10,1,1,,module-1/week-1/recap.md
CodeWars,TRUE,Week 4,Day 5,4,4,0,TRUE,Week 10,Halfday 3,10,2,0,KATA,module-1/week-1/self-guided/codewars.md
Express | GET Method - Route Params & Query String,TRUE,Week 4,Day 5,4,4,1,TRUE,Week 10,Halfday 3,10,2,1,,module-2/week-4/express-get-params.md
Express | POST Method - Request Body,TRUE,Week 4,Day 5,4,4,2,TRUE,Week 10,Halfday 3,10,2,2,,module-2/week-4/express-post-params.md
LAB | Express Spotify,TRUE,Week 4,Day 5,4,4,3,TRUE,Week 10,Halfday 4,10,3,0,LAB,module-2/labs/lab-express-spotify.md
Lab review - reinforcement of Express GET and POST concept,TRUE,Week 4,Day 5,4,4,4,TRUE,Week 10,Halfday 4,10,3,1,,module-2/week-4/get-post-reinforcement.md
Node | Asynchrony,TRUE,Week 4,Day 5,4,4,5,TRUE,Week 10,Halfday 4,10,3,2,SELF_GUIDED,module-2/week-4/self-guided/node-async.md
Express | Express Generator,TRUE,Week 5,Day 1,5,0,0,TRUE,Week 11,Halfday 1,11,0,0,,module-2/week-4/express-generator.md
Mongoose&Express | List - Read Documents,TRUE,Week 5,Day 1,5,0,1,TRUE,Week 11,Halfday 1,11,0,1,,module-2/week-4/mongoose-express-list-read.md
LAB | Express Cinema,TRUE,Week 5,Day 1,5,0,2,TRUE,Week 11,Halfday 1,11,0,2,LAB,module-2/labs/lab-express-cinema.md
Mongoose&Express | Basic CRUD,TRUE,Week 5,Day 1,5,0,3,TRUE,Week 11,Halfday 2,11,1,0,,module-2/week-4/mongoose-express-basic-crud.md
LAB | Express Drones,TRUE,Week 5,Day 1,5,0,4,TRUE,Week 11,Halfday 2,11,1,1,LAB,module-2/labs/lab-express-drones
Mongoose&Express | Documents Relationships,TRUE,Week 5,Day 2,5,1,0,TRUE,Week 11,Halfday 3,11,2,0,,module-2/week-4/mongoose-express-relationships.md
LAB | Mongoose Movies & Celebrities,TRUE,Week 5,Day 2,5,1,1,TRUE,Week 11,Halfday 3,11,2,1,LAB,module-2/labs/lab-mongoose-movies.md
Lab review - reinforcement of CRUD concept,TRUE,Week 5,Day 2,5,1,2,TRUE,Week 11,Halfday 4,11,3,0,,module-2/week-4/crud-reinforcement.md
Node | The concern on users' security,TRUE,Week 5,Day 3,5,2,0,TRUE,Week 12,Halfday 1,12,0,0,,module-2/week-5/node-bcrypt.md
Node | User registration,TRUE,Week 5,Day 3,5,2,1,TRUE,Week 12,Halfday 1,12,0,1,,module-2/week-5/user-registration.md
LAB | Express basic auth - iteration 1,TRUE,Week 5,Day 3,5,2,2,TRUE,Week 12,Halfday 1,12,0,2,LAB,module-2/labs/lab-express-basic-auth.md
