name,active,seq,vert,seq_index,vert_index,order,tag,file,deliverable_display_name,deliverable_identifier,deliverable_description,deliverable_duedate
LAB | Express Spotify,TRUE,Week 10,Halfday 3,10,2,3,LAB,module-2/labs/lab-express-spotify.md,,,,
Survey,TRUE,Week 10,Halfday 4,10,3,0,RITUALS,md/survey.md,,,,
Protip 02,TRUE,Week 10,Halfday 4,10,3,1,RITUALS,md/protip02.md,,,,
LAB Review | IronBeers,FALSE,Week 10,Halfday 4,10,3,2,RITUALS,md/labreview-ironbeers.md,,,,
LAB Review | Advanced Querying,FALSE,Week 10,Halfday 4,10,3,3,RITUALS,md/labreview-advance-querying-mongo.md,,,,
Express | POST Method - Request Body,TRUE,Week 10,Halfday 4,10,3,4,,module-2/week-4/express-post-params.md,,,,
Lab review - reinforcement of Express GET and POST concept,TRUE,Week 10,Halfday 4,10,3,5,,module-2/week-4/get-post-reinforcement.md,,,,
Node | Asynchrony,FALSE,Week 10,Halfday 4,10,3,6,SELF_GUIDED,module-2/week-4/self-guided/node-async.md,,,,
Kata,TRUE,Week 10,Halfday 4,10,3,7,RITUALS,md/kata-05.md,,,,
Replay,FALSE,Week 10,Halfday 4,10,3,8,RITUALS,md/replay-w10h4.md,,,,
Express | Express Generator,TRUE,Week 11,Halfday 1,11,0,2,,module-2/week-4/express-generator.md,,,,
Mongoose&Express | List - Read Documents,TRUE,Week 11,Halfday 1,11,0,3,,module-2/week-4/mongoose-express-list-read.md,,,,
LAB | Express Cinema,TRUE,Week 11,Halfday 1,11,0,4,LAB,module-2/labs/lab-express-cinema.md,,,,
Replay,FALSE,Week 11,Halfday 1,11,0,5,RITUALS,md/replay-w11h1.md,,,,
LAB Review | Express Spotify,FALSE,Week 11,Halfday 2,11,1,0,RITUALS,md/labreview-express-spotify.md,,,,
Kata Review,TRUE,Week 11,Halfday 2,11,1,1,RITUALS,md/katareview03.md,,,,
Mongoose&Express | Basic CRUD,TRUE,Week 11,Halfday 2,11,1,2,,module-2/week-4/mongoose-express-basic-crud.md,,,,
LAB | Express Drones,FALSE,Week 11,Halfday 2,11,1,3,LAB,module-2/labs/lab-express-drones,,,,
Replay,FALSE,Week 11,Halfday 2,11,1,4,RITUALS,md/replay-w11h2.md,,,,
LAB | Mongoose Movies & Celebrities (Part 1),TRUE,Week 11,Halfday 3,11,2,0,LAB,module-2/labs/lab-mongoose-movies.md,,,,
Replay,FALSE,Week 11,Halfday 3,11,2,1,RITUALS,md/replay-w11h3.md,,,,
Survey,TRUE,Week 11,Halfday 4,11,3,0,RITUALS,md/survey.md,,,,
MongoDB | Data Models,TRUE,Week 11,Halfday 4,11,3,1,,module-2/week-4/mongo-data-models.md,,,,
Mongoose&Express | Documents Relationships,TRUE,Week 11,Halfday 4,11,3,2,,module-2/week-4/mongoose-express-relationships-old.md,,,,
LAB | Mongoose Movies & Celebrities (Part 2 - from iteration 7),TRUE,Week 11,Halfday 4,11,3,3,LAB,module-2/labs/lab-mongoose-movies.md,,,,
Replay,FALSE,Week 11,Halfday 4,11,3,4,RITUALS,md/replay-w11h4.md,,,,
Lab review - reinforcement of CRUD concept,TRUE,Week 11,Halfday 4,11,3,5,,module-2/week-4/crud-reinforcement.md,,,,
